agent,cost_bps,cost_value,seed,test_return,test_return_std,test_sharpe,test_max_dd,test_turnover,train_time_sec,model_path
DDPG,2.5bps,0.00025,42,5.389703575658267,13.033855498912864,54.734227900316135,14.65477602270413,14.94289108608283,7161.976360082626,stability_study/models/ddpg_cost2.5bps_seed42
DDPG,2.5bps,0.00025,123,4.966843421910427,8.744571796463111,75.18114274185312,13.128274533827277,19.39569813036451,8130.830661773682,stability_study/models/ddpg_cost2.5bps_seed123
DDPG,2.5bps,0.00025,456,0.4394986151540436,6.0202396933423525,9.662971683625868,19.912113854935026,7.7297026028820115,8257.153733968735,stability_study/models/ddpg_cost2.5bps_seed456
DDPG,25bps,0.0025,42,4.622504755267531,9.705519974516408,63.04135874561935,12.117251255969762,0.382441717970605,6653.108042001724,stability_study/models/ddpg_cost25bps_seed42
DDPG,25bps,0.0025,123,2.2236748753262203,10.393346355229005,28.31932502590208,21.09720230716935,6.633407990605224,7161.591883182526,stability_study/models/ddpg_cost25bps_seed123
DDPG,25bps,0.0025,456,3.973716641914682,8.183287096004142,64.27411494679811,8.291802984238505,2.7334863987623477,9531.61087012291,stability_study/models/ddpg_cost25bps_seed456
DDPG,50bps,0.005,42,4.975184298438884,9.5452157374189,68.99068070684551,12.56848628638737,0.0,11463.736564874647,stability_study/models/ddpg_cost50bps_seed42
DDPG,50bps,0.005,123,8.327710379446218,13.643875165211345,80.78949525457533,16.977865672430614,0.0,7757.126838684082,stability_study/models/ddpg_cost50bps_seed123
DDPG,50bps,0.005,456,-1.7622272309539389,6.124436901397005,-38.08576850780614,26.818841489734744,11.996746541939531,7937.287136077881,stability_study/models/ddpg_cost50bps_seed456
TD3,2.5bps,0.00025,42,3.7211496379334186,8.61445213052229,57.17635598542326,25.221232186308328,15.754796262815889,9809.12222480774,stability_study/models/td3_cost2.5bps_seed42
TD3,2.5bps,0.00025,123,4.6123636100877,9.18119243245153,66.49537669279101,13.088318099657581,10.826813648027532,7712.484702825546,stability_study/models/td3_cost2.5bps_seed123
TD3,2.5bps,0.00025,456,6.992984574851824,13.63442756819531,67.8879477586234,8.423531544205709,7.183076512346081,7707.187026262283,stability_study/models/td3_cost2.5bps_seed456
TD3,25bps,0.0025,42,3.663590247666626,8.344721012830146,58.111498095840304,12.117251255969762,1.2049456140574286,8969.41932797432,stability_study/models/td3_cost25bps_seed42
TD3,25bps,0.0025,123,2.8377675054950258,9.676794621075526,38.81613536353449,17.267482446199768,5.2936611030616,10533.069465875626,stability_study/models/td3_cost25bps_seed123
TD3,25bps,0.0025,456,7.865523482819703,24.095457318055953,43.20753510918343,31.92962111683576,0.0,7154.366456747055,stability_study/models/td3_cost25bps_seed456
TD3,50bps,0.005,42,-0.0030397908616919267,0.0,-402356.2538585763,0.0030397908616919267,0.0,7366.585507154465,stability_study/models/td3_cost50bps_seed42
TD3,50bps,0.005,123,5.5377449471701645,8.83831344574522,82.93360649813445,11.340905522515376,0.0,7902.0779592990875,stability_study/models/td3_cost50bps_seed123
TD3,50bps,0.005,456,5.324893367478811,15.60175205422759,45.17566629380822,12.551894081918391,1.7645174910040464,7960.6620399951935,stability_study/models/td3_cost50bps_seed456
